,movieId,TITLE,TMDB_SCORE,IMDB_SCORE,TOTAL_RATINGS,FEATURED CREW,TOP BILLED CAST,ORIGINAL LANGUAGE,RUN TIME,GENRE,BUDGET,REVENUE
0,1,Toy Story,78,8.3,"703,667","[(Alec Sokolow, 12893, Screenplay), (Joel Cohen, 12892, Screenplay), (Joss Whedon, 12891, Screenplay), (John Lasseter, 7879, Director), (Andrew Stanton, 7, Screenplay)]","[(Tom Hanks, 31, Woody (voice)), (Tim Allen, 12898, Buzz Lightyear (voice)), (Don Rickles, 7167, Mr. Potato Head (voice)), (Jim Varney, 12899, Slinky Dog (voice)), (Wallace Shawn, 12900, Rex (voice))]",English,1h21m,"[Animation, Comedy, Family]","$30,000,000.00 ","$373,554,033.00 "
1,2,Jumanji,69,6.9,"235,951","[(Greg Taylor, 56520, Screenplay), (Chris van Allsburg, 42356, Novel), (Jim Strain, 56521, Screenplay), (Joe Johnston, 4945, Director), (Jonathan Hensleigh, 876, Screenplay)]","[(Robin Williams, 2157, Alan Parrish), (Jonathan Hyde, 8537, Samuel Alan Parrish / Van Pelt), (Kirsten Dunst, 205, Judy Sheperd), (Bradley Pierce, 145151, Peter Shepherd), (Bonnie Hunt, 5149, Sarah Whittle)]",English,1h44m,"[Adventure, Fantasy, Family]","$65,000,000.00 ","$262,797,249.00 "
2,3,Grumpier Old Men,66,6.6,"20,900","[(Mark Steven Johnson, 16837, Characters, Writer), (Howard Deutch, 26502, Director)]","[(Walter Matthau, 6837, Max Goldman), (Jack Lemmon, 3151, John Gustafson), (Ann-Margret, 13567, Ariel Gustafson), (Sophia Loren, 16757, Maria Sophia Coletta Ragetti), (Daryl Hannah, 589, Melanie Gustafson)]",English,1h41m,"[Romance, Comedy]","$25,000,000 ","$69,870,000 "
3,4,Waiting to Exhale,61,5.7,"8,043","[(Terry McMillan, 111118, Novel, Screenplay), (Ronald Bass, 5144, Screenplay), (Forest Whitaker, 2178, Director)]","[(Whitney Houston, 8851, Savannah 'Vannah' Jackson), (Angela Bassett, 9780, Bernadine 'Bernie' Harris), (Loretta Devine, 18284, Gloria 'Glo' Matthews), (Lela Rochon, 51359, Robin Stokes), (Gregory Hines, 66804, Marvin King)]",English,2h7m,"[Comedy, Drama, Romance]","$16,000,000.00 ","$81,452,156.00 "
4,5,Father of the Bride Part II,57,5.9,"28,904","[(Charles Shyer, 56106, Director), (Albert Hackett, 26160, Screenplay), (Nancy Meyers, 17698, Screenplay)]","[(Steve Martin, 67773, George Banks), (Diane Keaton, 3092, Nina Banks), (Martin Short, 519, Franck Eggelhoffer), (Kimberly Williams-Paisley, 70696, Annie Banks-MacKenzie), (George Newbern, 59222, Bryan MacKenzie)]",English,1h46m,[Comedy],"$30,000,000 ","$76,578,911.00 "
5,6,Heat,77,8.2,"475,705","[(Michael Mann, 638, Director, Screenplay)]","[(Al Pacino, 1158, Lt. Vincent Hanna), (Robert De Niro, 380, Neil McCauley), (Val Kilmer, 5576, Chris Shiherlis), (Jon Voight, 10127, Nate), (Tom Sizemore, 3197, Michael Cheritto)]",English,2h50m,"[Action, Crime, Drama, Thriller]","$60,000,000.00 ","$187,436,818.00 "
6,7,Sabrina,62,6.3,"31,702","[(Barbara Benedek, 70846, Screenplay), (David Rayfiel, 11056, Screenplay), (Sydney Pollack, 2226, Director)]","[(Harrison Ford, 3, Linus Larrabee), (Julia Ormond, 15887, Sabrina Fairchild), (Greg Kinnear, 17141, David Larrabee), (Angie Dickinson, 4301, Mrs. Ingrid Tyson), (Nancy Marchand, 12957, Maude Larrabee)]",English,2h7m,"[Comedy, Romance]","$58,000,000.00 ","$87,313,761 "
7,8,Tom and Huck,53,5.6,"8,251","[(Mark Twain, 72225, Novel), (Peter Hewitt, 18357, Director), (Stephen Sommers, 7775, Screenplay), (David Loughery, 2075, Screenplay)]","[(Jonathan Taylor Thomas, 53283, Tom Sawyer), (Brad Renfro, 51214, Huck Finn), (Rachael Leigh Cook, 38581, Becky Thatcher), (Michael McShane, 8316, Muff Potter), (Amy Wright, 87007, Aunt Polly)]",English,1h37m,"[Action, Adventure, Drama, Family]",-,"$23,735,802 "
8,9,Sudden Death,55,5.7,"27,713","[(Gene Quintano, 56953, Screenplay), (Karen Elise Baldwin, 53300, Screenplay), (Peter Hyams, 37710, Director)]","[(Jean-Claude Van Damme, 15111, Darren Francis Thomas McCord), (Powers Boothe, 6280, Joshua Foss), (Dorian Harewood, 8656, Matthew Hallmark), (Raymond J. Barry, 10361, VizeprÃ_sident Daniel Bender), (Ross Malinger, 12928, Tyler)]",English,1h46m,"[Action, Adventure, Thriller]","$35,000,000.00 ","$64,350,171.00 "
9,10,GoldenEye,67,7.2,"211,202","[(Bruce Feirstein, 10705, Screenplay), (Jeffrey Caine, 10704, Screenplay), (Michael France, 10703, Story), (Martin Campbell, 10702, Director), (Ian Fleming, 9856, Characters)]","[(Pierce Brosnan, 517, James Bond), (Sean Bean, 48, Alec Trevelyan), (Izabella Scorupco, 10695, Natalya Fyodorovna Simonova), (Famke Janssen, 10696, Xenia Onatopp), (Joe Don Baker, 10671, Jack Wade)]",English,2h10m,"[Adventure, Action, Thriller]","$58,000,000.00 ","$352,194,034.00 "
10,11,The American President,66,6.8,"45,584","[(Aaron Sorkin, 13520, Screenplay), (Rob Reiner, 3026, Director)]","[(Michael Douglas, 3392, Andrew Shepherd), (Annette Bening, 516, Sydney Ellen Wade), (Michael J. Fox, 521, Lewis Rothschild), (Martin Sheen, 8349, A.J. MacInerney), (Anna Deavere Smith, 63279, Robin McCall)]",English,1h46m,"[Comedy, Drama, Romance]","$62,000,000.00 ","$107,879,496.00 "
